Its a Ray
-0.134344 0.0952536 0.0520958 -0.127652 0.07399 0.1088
Its a Segment
-0.134344 0.0952536 0.0520958 0.16673 0.019964 -0.612901
Its a Segment
-0.134344 0.0952536 0.0520958 -0.0240844 0.0971632 -0.024558
-0.0638988 0.109582 -0.0144399 
-0.0629342 0.109643 -0.0151294 
-0.0639107 0.108163 -0.0148371 
-0.0599044 0.111127 -0.0158584 
-0.0589097 0.111154 -0.0162513 
-0.0569156 0.112617 -0.0162683 
-0.0578899 0.111162 -0.0167182 
-0.0568852 0.111179 -0.0170834 
-0.0609117 0.111106 -0.0154828 
-0.0494965 0.11266 -0.0171746 
-0.0548931 0.111218 -0.0174922 
-0.0529014 0.114056 -0.0162353 
-0.0496313 0.111407 -0.0178803 
-0.0507728 0.111366 -0.017973 
-0.0493982 0.113885 -0.0164603 
-0.051802 0.111349 -0.0178923 
-0.052671 0.112615 -0.017101 
-0.0505191 0.112725 -0.0172384 
-0.0528539 0.1113 -0.0177773 
-0.0492612 0.115146 -0.0157671 
-0.053836 0.112592 -0.0169505 
-0.0516192 0.112658 -0.0171697 
-0.0504236 0.113946 -0.0165184 
-0.0514821 0.113924 -0.0164877 
-0.0536811 0.113759 -0.0162997 
-0.0525829 0.113848 -0.0164008 
-0.0548344 0.113627 -0.016162 
-0.055903 0.111216 -0.0172629 
-0.0559081 0.112628 -0.0165116 
-0.0539028 0.11125 -0.0176614 
-0.0548973 0.112625 -0.01673 
-0.0418025 0.1163 -0.0150397 
-0.0427898 0.116428 -0.015168 
-0.0345641 0.11594 -0.0146748 
-0.0375944 0.116238 -0.0149818 
-0.036531 0.116238 -0.0149852 
-0.0334993 0.115969 -0.0147052 
-0.0386607 0.116212 -0.0149511 
-0.0407824 0.116214 -0.0149415 
-0.0397231 0.116184 -0.0149076 
-0.0355869 0.116022 -0.0147547 
-0.0292487 0.115981 -0.0147474 
-0.0271235 0.11599 -0.0147668 
-0.0323987 0.116048 -0.0147978 
-0.0313363 0.11605 -0.0148117 
-0.0302748 0.116055 -0.0148216 
-0.0282259 0.115945 -0.0147131 
-0.0825971 0.103328 -0.00360734 
-0.0827604 0.106087 -0.00164696 
-0.0822477 0.106043 -0.00262262 
-0.0833395 0.103378 -0.00262342 
-0.0833424 0.104748 -0.00163012 
-0.080771 0.105947 -0.00458985 
-0.0810076 0.10869 -0.00259876 
-0.0813623 0.104616 -0.00457868 
-0.0820994 0.104661 -0.00359906 
-0.0817139 0.108721 -0.00159489 
-0.0815177 0.106 -0.00361682 
-0.0809167 0.107332 -0.00361395 
-0.0817304 0.107364 -0.00260486 
-0.0822334 0.107404 -0.00162196 
-0.0828359 0.104706 -0.00261356 
-0.0809107 0.103235 -0.00559799 
-0.0818428 0.103274 -0.0045788 
-0.0838507 0.103422 -0.00164978 
-0.0808442 0.110042 -0.00155764 
-0.0810243 0.0936828 -0.00856919 
-0.0810332 0.092317 -0.00857663 
-0.0848416 0.0858026 -0.00253503 
-0.0659181 0.10388 -0.0158661 
-0.0648948 0.103911 -0.0165942 
-0.0649278 0.105334 -0.0156241 
-0.0648854 0.102482 -0.0170908 
-0.0658775 0.102439 -0.0164403 
-0.0668605 0.102389 -0.0157781 
-0.0708312 0.0951391 -0.0158707 
-0.0668407 0.0952437 -0.0171577 
-0.0718123 0.0950995 -0.0154446 
-0.069852 0.0951674 -0.0161643 
-0.0688351 0.0951745 -0.0162656 
-0.067835 0.0951999 -0.016639 
-0.064868 0.0953298 -0.0181139 
-0.0658548 0.0952898 -0.0176963 
-0.0648891 0.0981501 -0.0170112 
-0.0658747 0.0981197 -0.0167177 
-0.0668671 0.0980924 -0.0163226 
-0.0678611 0.0980605 -0.0159397 
-0.0688327 0.09803 -0.0157395 
-0.0698503 0.0980241 -0.015524 
-0.0648504 0.099576 -0.0170426 
-0.0658419 0.0995396 -0.0165139 
-0.0668441 0.0995074 -0.0160123 
-0.067848 0.0994807 -0.015636 
-0.0648684 0.0967433 -0.0176098 
-0.065855 0.0967089 -0.0173163 
-0.0668489 0.0966702 -0.0167929 
-0.0678387 0.0966346 -0.0163917 
-0.0688283 0.0966095 -0.0161149 
-0.0698286 0.0965949 -0.0159812 
-0.0708385 0.0965734 -0.0156262 
-0.0648576 0.101039 -0.0173044 
-0.0658232 0.100991 -0.0166158 
-0.0668197 0.100942 -0.0159632 
-0.0678676 0.100922 -0.0154166 
-0.0548148 0.0898539 -0.0222515 
-0.0538034 0.0898608 -0.0222645 
-0.0781375 0.103077 -0.00856917 
-0.0738828 0.103582 -0.0116089 
-0.0728992 0.107873 -0.010241 
-0.0728744 0.10362 -0.0122376 
-0.0758557 0.103473 -0.0101675 
-0.0748916 0.10354 -0.0108565 
-0.0738772 0.107826 -0.00969763 
-0.0768516 0.103431 -0.00952853 
-0.0778795 0.103388 -0.00866618 
-0.074876 0.107788 -0.00905848 
-0.0729009 0.105047 -0.011511 
-0.0738862 0.104992 -0.0108534 
-0.0748829 0.104948 -0.0102086 
-0.0758756 0.104904 -0.00955908 
-0.0768582 0.104852 -0.0089026 
-0.0728995 0.10646 -0.0108772 
-0.0739011 0.106421 -0.010241 
-0.0748631 0.106362 -0.00967707 
-0.0758841 0.106327 -0.00893896 
-0.0708458 0.0980019 -0.0152545 
-0.0718516 0.0979698 -0.0147575 
-0.0688478 0.0994593 -0.0152611 
-0.0698499 0.0994423 -0.0150141 
-0.0708414 0.0994113 -0.0147342 
-0.071855 0.0993885 -0.014251 
-0.0718229 0.0965348 -0.0152102 
-0.0688619 0.10089 -0.0150284 
-0.0698809 0.100876 -0.0145572 
-0.070852 0.100833 -0.0142398 
-0.0718661 0.100809 -0.0137558 
-0.0781478 0.107183 -0.00659237 
-0.0783661 0.108548 -0.00557568 
-0.0770892 0.107143 -0.00760422 
-0.0763629 0.108471 -0.00759882 
-0.0758939 0.107753 -0.00831552 
-0.0798195 0.105901 -0.00558882 
-0.0801811 0.108648 -0.00360377 
-0.0773226 0.108517 -0.00660544 
-0.0788576 0.105851 -0.00657974 
-0.0794787 0.104524 -0.00660043 
-0.0793237 0.108591 -0.00458021 
-0.0779001 0.105799 -0.00757653 
-0.0792032 0.10313 -0.00756064 
-0.0800798 0.103192 -0.0065999 
-0.0785113 0.10447 -0.00758869 
-0.0800669 0.107282 -0.00460113 
-0.0791181 0.10724 -0.00560787 
-0.0804236 0.104574 -0.00559216 
-0.0801061 0.109977 -0.00253557 
-0.0790938 0.10996 -0.003593 
-0.0771859 0.109877 -0.00559641 
-0.0782331 0.109897 -0.00456592 
-0.0778811 0.104813 -0.00803583 
-0.0768529 0.106269 -0.00826114 
